date	Twitter
7/1/14 0:16:59	77.4
7/1/14 0:17:09	79.6
7/1/14 0:17:19	84.2
7/1/14 0:17:29	81.8
7/1/14 0:17:39	82.5
7/1/14 0:17:49	80.2
7/1/14 0:17:59	77.8
7/1/14 0:18:09	86.1
7/1/14 0:18:19	79.9
7/1/14 0:18:29	83.5
7/1/14 0:18:39	81.5
7/1/14 0:18:49	77.8
7/1/14 0:18:59	76.1
7/1/14 0:19:09	76.3
7/1/14 0:19:19	75.8
7/1/14 0:19:29	77.2
7/1/14 0:19:39	79.3
7/1/14 0:19:49	78.9
7/1/14 0:19:59	79.6
7/1/14 0:20:09	83.3
7/1/14 0:20:19	84.3
7/1/14 0:20:29	75.1
7/1/14 0:20:39	68.4
7/1/14 0:20:49	68.4
7/1/14 0:20:59	72.2
7/1/14 0:21:09	75.6
7/1/14 0:21:19	82.6
7/1/14 0:21:29	78.4
7/1/14 0:21:39	77
7/1/14 0:21:49	79.4
7/1/14 0:21:59	77.4
7/1/14 0:22:09	72.5
7/1/14 0:22:19	72.9
7/1/14 0:22:29	73.6
7/1/14 0:22:39	75
7/1/14 0:22:49	77.7
7/1/14 0:22:59	79.7
7/1/14 0:23:09	79.6
7/1/14 0:23:19	81.5
7/1/14 0:23:29	80
7/1/14 0:23:39	75.7
7/1/14 0:23:49	77.8
7/1/14 0:23:59	78.6
7/1/14 0:24:09	77.8
7/1/14 0:24:19	78.5
7/1/14 0:24:29	78.8
7/1/14 0:24:39	78.6
7/1/14 0:24:49	76.8
7/1/14 0:24:59	76.7
7/1/14 0:25:09	75.9
7/1/14 0:25:19	77.6
7/1/14 0:25:29	72.6
7/1/14 0:25:39	70.4
7/1/14 0:25:49	71.8
7/1/14 0:25:59	73.6
7/1/14 0:26:09	74.7
7/1/14 0:26:19	74.6
7/1/14 0:26:29	76
7/1/14 0:26:39	76.2
7/1/14 0:26:49	73.4
7/1/14 0:26:59	74.6
7/1/14 0:27:09	79.4
7/1/14 0:27:19	74.7
7/1/14 0:27:29	73.5
7/1/14 0:27:39	77.9
7/1/14 0:27:49	80.7
7/1/14 0:27:59	75.1
7/1/14 0:28:09	73.5
7/1/14 0:28:19	73.5
7/1/14 0:28:29	77.7
7/1/14 0:28:39	74.2
7/1/14 0:28:49	76
7/1/14 0:28:59	77.1
7/1/14 0:29:09	69.7
7/1/14 0:29:19	67.8
7/1/14 0:29:29	64
7/1/14 0:29:39	68.1
7/1/14 0:29:49	69.3
