date	Twitter	Facebook
7/1/14 0:12:00	75.9	52.1
7/1/14 0:12:10	72.9	52.1
7/1/14 0:12:20	72.5	53.3
7/1/14 0:12:30	67.2	54.8
7/1/14 0:12:40	68.3	54
7/1/14 0:12:50	67.7	52.3
7/1/14 0:13:00	61.9	55.3
7/1/14 0:13:10	58.3	53.5
7/1/14 0:13:20	61.7	54.1
7/1/14 0:13:30	66.7	53.9
7/1/14 0:13:40	68.7	54.4
7/1/14 0:13:50	72.2	55
7/1/14 0:14:00	72.6	60
7/1/14 0:14:10	69.2	57.2
7/1/14 0:14:20	66.9	55.1
7/1/14 0:14:30	66.7	53.3
7/1/14 0:14:40	67.7	53.4
7/1/14 0:14:50	68.5	54.6
7/1/14 0:15:00	67.5	57
7/1/14 0:15:10	64.2	55.6
7/1/14 0:15:20	61.7	52.5
7/1/14 0:15:30	66.4	53.9
7/1/14 0:15:40	77.9	55.3
7/1/14 0:15:50	88.3	53.3
7/1/14 0:16:00	82.2	54.1
7/1/14 0:16:10	77	55.2
7/1/14 0:16:20	75.4	55.8
7/1/14 0:16:30	70.9	56.8
7/1/14 0:16:39	65.9	57.5
7/1/14 0:16:49	73.5	57.7
7/1/14 0:16:59	77.4	56.6
7/1/14 0:17:09	79.6	56.4
7/1/14 0:17:19	84.2	58.4
7/1/14 0:17:29	81.8	58.8
7/1/14 0:17:39	82.5	56.4
7/1/14 0:17:49	80.2	56.5
7/1/14 0:17:59	77.8	55.8
7/1/14 0:18:09	86.1	54.8
7/1/14 0:18:19	79.9	54.9
7/1/14 0:18:29	83.5	54.7
7/1/14 0:18:39	81.5	52.8
7/1/14 0:18:49	77.8	53.7
7/1/14 0:18:59	76.1	53.1
7/1/14 0:19:09	76.3	52.7
7/1/14 0:19:19	75.8	52
7/1/14 0:19:29	77.2	53.4
7/1/14 0:19:39	79.3	54
7/1/14 0:19:49	78.9	54
7/1/14 0:19:59	79.6	54.5
7/1/14 0:20:09	83.3	56.7
7/1/14 0:20:19	84.3	57.5
7/1/14 0:20:29	75.1	57.1
7/1/14 0:20:39	68.4	58.1
7/1/14 0:20:49	68.4	57.6
7/1/14 0:20:59	72.2	56
7/1/14 0:21:09	75.6	56.6
7/1/14 0:21:19	82.6	57.8
7/1/14 0:21:29	78.4	57.5
7/1/14 0:21:39	77	56.4
7/1/14 0:21:49	79.4	55.3
7/1/14 0:21:59	77.4	55
7/1/14 0:22:09	72.5	55.6
7/1/14 0:22:19	72.9	55.6
7/1/14 0:22:29	73.6	55.9
7/1/14 0:22:39	75	55.4
7/1/14 0:22:49	77.7	54.4
7/1/14 0:22:59	79.7	53.7
7/1/14 0:23:09	79.6	54.1
7/1/14 0:23:19	81.5	57.8
7/1/14 0:23:29	80	58.2
7/1/14 0:23:39	75.7	58
7/1/14 0:23:49	77.8	57
7/1/14 0:23:59	78.6	55
7/1/14 0:24:09	77.8	54.8
7/1/14 0:24:19	78.5	53
7/1/14 0:24:29	78.8	52.5
7/1/14 0:24:39	78.6	53.3
7/1/14 0:24:49	76.8	53.9
7/1/14 0:24:59	76.7	56.2
7/1/14 0:25:09	75.9	57.1
7/1/14 0:25:19	77.6	55.3
7/1/14 0:25:29	72.6	56.2
7/1/14 0:25:39	70.4	54.3
7/1/14 0:25:49	71.8	53.1
7/1/14 0:25:59	73.6	53.4
7/1/14 0:26:09	74.7	54.5
7/1/14 0:26:19	74.6	55.7
7/1/14 0:26:29	76	54.8
7/1/14 0:26:39	76.2	53.8
7/1/14 0:26:49	73.4	56.5
7/1/14 0:26:59	74.6	58.3
7/1/14 0:27:09	79.4	58.7
7/1/14 0:27:19	74.7	57.5
7/1/14 0:27:29	73.5	55.9
7/1/14 0:27:39	77.9	55.4
7/1/14 0:27:49	80.7	55.7
7/1/14 0:27:59	75.1	53.1
7/1/14 0:28:09	73.5	53.5
7/1/14 0:28:19	73.5	52.5
7/1/14 0:28:29	77.7	54.5
7/1/14 0:28:39	74.2	56.3
7/1/14 0:28:49	76	56.4
7/1/14 0:28:59	77.1	56.5
7/1/14 0:29:09	69.7	56.4
7/1/14 0:29:19	67.8	55.4
7/1/14 0:29:29	64	56.2
7/1/14 0:29:39	68.1	55.7
7/1/14 0:29:49	69.3	54.3
